                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0775,                 2.7698,                 1.3636,                0.00363,                0.97701,                0.32924,                0.17803,                 1.0763,                 3.3843,                 1.4577,                0.00022,                0.00022,                0.00022
                      2,                 1.1099,                 1.9837,                 1.3372,                0.63666,                0.05747,                0.27015,                 0.1356,                  1.398,                 3.7732,                 1.7032,             0.00045545,             0.00045545,             0.00045545
                      3,                 1.0983,                  1.902,                 1.3463,                 0.4627,                0.22989,                0.29061,                0.12663,                 1.5451,                 3.6895,                 2.0426,             0.00068614,             0.00068614,             0.00068614
                      4,                 1.1808,                 1.8015,                  1.384,                0.52559,                0.14943,                0.20858,                0.09875,                 1.8169,                 3.5977,                 2.4559,             0.00091208,             0.00091208,             0.00091208
                      5,                 1.1688,                 1.8073,                  1.392,                 0.2794,                0.22989,                0.17413,                0.07184,                 1.9061,                  3.357,                 2.5873,              0.0011333,              0.0011333,              0.0011333
                      6,                 1.1217,                  1.581,                 1.3694,                0.39959,                0.34483,                 0.3236,                0.13795,                 1.8433,                 3.2667,                 2.3875,              0.0013497,              0.0013497,              0.0013497
                      7,                 1.2091,                 1.6567,                 1.4275,                0.13079,                0.21839,                0.05314,                0.01189,                  2.463,                 4.1704,                 3.4754,              0.0015614,              0.0015614,              0.0015614
                      8,                 1.1877,                 1.6113,                 1.4276,                0.35238,                0.10345,                0.07751,                0.02664,                 2.8455,                 3.4987,                 4.1675,              0.0017683,              0.0017683,              0.0017683
                      9,                 1.2219,                 1.5376,                 1.4386,                0.07194,                 0.2069,                0.03691,                0.01013,                 2.7231,                 7.1734,                 5.8399,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1943,                 1.4973,                 1.4068,                0.28646,                0.12644,                0.11486,                0.05673,                  2.766,                 3.6314,                 4.4261,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1619,                 1.5046,                 1.3966,                0.24231,                0.22989,                0.16076,                0.07799,                 2.0693,                 2.8463,                 2.3735,               0.001802,               0.001802,               0.001802
                     12,                 1.2221,                 1.4217,                 1.4388,                 0.3861,                0.31034,                0.31288,                0.14601,                 1.9647,                  2.537,                 2.2056,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2387,                 1.4319,                 1.4656,                0.27282,                0.27586,                0.19371,                0.09479,                 1.9434,                 2.8163,                 2.4043,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2175,                 1.3744,                 1.4266,                0.38364,                0.43678,                0.31987,                0.14996,                 1.9235,                 2.6246,                 2.5499,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1459,                 1.2795,                 1.3769,                0.36722,                0.47126,                0.33894,                0.18966,                 1.8929,                 2.3701,                 2.3868,              0.0017228,              0.0017228,              0.0017228
